Id,Label,Description,Area
L Sigal,Leonid Sigal,1691.3000000000006,vision
L Lakshmanan,Laks V. S. Lakshmanan,996.4333333333333,db
A Sheffer,Alla Sheffer,21854.082539682535,graphics
K Leyton-Brown,Kevin Leyton-Brown,45814.833333333394,ai
J McGrenere,Joanna McGrenere,9424.195238095232,hci
H Rhodin,Helge Rhodin,5355.628571428572,vision
F Wood,Frank D. Wood,8390.799999999996,ml
T Aamodt,Tor M. Aamodt,5206.552380952381,arch
G Carenini,Giuseppe Carenini,14972.190476190479,nlp
K Yi,Kwang Moo Yi,2906.7714285714283,vision
M Panne,Michiel van de Panne,498.66666666666663,graphics
R Xiao,Robert Xiao,7385.438095238098,hci
H Hoos,Holger H. Hoos,9708.128571428571,ai
J Little,James J. Little,5697.585714285711,vision
P Nair,Prashant J. Nair,831.5119047619048,arch
T Munzner,Tamara Munzner,12809.30952380952,visualization
M Seltzer,Margo I. Seltzer,12743.378571428579,ml
K Pattabiraman,Karthik Pattabiraman,9613.509523809522,hpc
V Shwartz,Vered Shwartz,3213.428571428571,nlp
I Beschastnikh,Ivan Beschastnikh,10081.09523809524,se
K MacLean,Karon E. MacLean,4060.371428571429,hci
D Sutherland,Danica J. Sutherland,511.29999999999995,ml
D Yoon,Dongwook Yoon,1375.6285714285714,hci
J Clune,Jeff Clune,50746.13333333333,ml
N Harvey,Nicholas J. A. Harvey,1363.833333333333,ml
D Pai,Dinesh K. Pai,267.595238095238,graphics
M Park,Mijung Park,3263.57777777778,ml
J Rubin,Julia Rubin,7246.480952380949,se
C Conati,Cristina Conati,13075.94285714285,ai
R Holmes,Reid Holmes,11975.819047619043,se
A Hu,Alan J. Hu,3414.109523809525,logic
M Lécuyer,Mathias Lécuyer,778.1333333333331,security
M Ripeanu,Matei Ripeanu,14502.733333333328,hpc
G Murphy,Gail C. Murphy,3421.7142857142853,se
R Ng,Raymond T. Ng,50553.20714285713,nlp
A Fedorova,Alexandra Fedorova,12101.452380952394,hpc
M Friedlander,Michael P. Friedlander,1217.2,ml
A Mehta,Aastha Mehta,3172.461904761905,security
F Shepherd,F. Bruce Shepherd,10.0,theory
A Summers,Alexander J. Summers,128.16666666666666,logic
R Garcia,Ronald Garcia,1617.452380952381,pl
A Mackworth,Alan K. Mackworth,2024.2095238095237,ai
I Mitchell,Ian M. Mitchell,7635.299999999999,robotics
T Pasquier,Thomas Pasquier,3379.5380952380956,security
U Ascher,Uri M. Ascher,5922.166666666664,graphics
A Condon,Anne Condon,10443.876190476196,ecom
C Lemieux,Caroline Lemieux,3065.3952380952373,se
M Shahrad,Mohammad Shahrad,1967.4952380952384,arch
W Aiello,William Aiello,12556.800000000012,Unknown
W Evans,William S. Evans,4687.919047619045,Unknown
R Pottinger,Rachel Pottinger,2510.195238095239,Unknown
R Rensink,Ronald A. Rensink,528.5476190476188,Unknown
